ID_x,Team_Name,Opponent_Name,Year,Owner_Team_Code,PlayNum,Possession,Yard,Hash,Down,Distance,Drive,Quarter,D_Formation,Formation,Formation_Strength,Play_Type,Play_Type_Dir,Pass_Zone,Coverage,Pressure_Left,Pressure_Middle,Pressure_Right,Result,Result_BallCarrier,Event,Result_Lat,Result_Lon,Play_Lat,Play_Lon,Simplified,ID_y,Team_Code,Wide_Recievers,Tight_Ends,Running_Backs,Image
275,Burnsville,Park,2021,EVHS22,43,Burnsville,52,Middle,2,4,11,1,4-3,Twins,Left,Inside Run,Right,Non Passing Play,Man 1,0,0,0,48,-99,,10.0,5.045,5.2,4.0,false,23,EVHS22,2,1,2,/Dev
172,Burnsville,Park,2021,EVHS22,43,Burnsville,52,Middle,2,4,11,1,4-3,Twins,Left,Inside Run,Right,Non Passing Play,Man 1,0,0,0,48,-99,,10.0,5.045,5.2,4.0,false,23,EVHS22,2,1,2,/Dev
173,Burnsville,Park,2021,EVHS22,44,Park,68,Right,1,10,12,1,3-4,Trips Flex,Left,Pocket Pass,Unknown,Flats - Left,Zone 4,0,1,0,5,-99,,7.3,5.045,6.8,6.0,false,19,EVHS22,4,0,1,/Dev
276,Burnsville,Park,2021,EVHS22,44,Park,68,Right,1,10,12,1,3-4,Trips Flex,Left,Pocket Pass,Unknown,Flats - Left,Zone 4,0,1,0,5,-99,,7.3,5.045,6.8,6.0,false,19,EVHS22,4,0,1,/Dev
174,Burnsville,Park,2021,EVHS22,45,Park,37,Left,2,5,12,1,3-4,Trips Flex,Right,Inside Run,Right,Non Passing Play,Zone 2,0,0,0,0,-99,,3.7,5.045,3.7,5.045,false,19,EVHS22,4,0,1,/Dev
277,Burnsville,Park,2021,EVHS22,45,Park,37,Left,2,5,12,1,3-4,Trips Flex,Right,Inside Run,Right,Non Passing Play,Zone 2,0,0,0,0,-99,,3.7,5.045,3.7,5.045,false,19,EVHS22,4,0,1,/Dev
278,Burnsville,Park,2021,EVHS22,46,Park,37,Left,3,5,12,1,3-4,Thunder,Right,Boot Pass,Unknown,Middle - Middle,Zone 2,0,0,0,21,-99,,5.8,5.045,3.7,5.045,false,25,EVHS22,3,0,2,/Dev
175,Burnsville,Park,2021,EVHS22,46,Park,37,Left,3,5,12,1,3-4,Thunder,Right,Boot Pass,Unknown,Middle - Middle,Zone 2,0,0,0,21,-99,,5.8,5.045,3.7,5.045,false,25,EVHS22,3,0,2,/Dev
279,Burnsville,Park,2021,EVHS22,47,Park,58,Middle,1,10,12,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Flats - Left,Zone 2,0,0,0,-22,-99,,3.6,5.045,5.8,4.0,false,18,EVHS22,4,0,1,/Dev
176,Burnsville,Park,2021,EVHS22,47,Park,58,Middle,1,10,12,1,3-4,Double Wide,Left,Pocket Pass,Unknown,Flats - Left,Zone 2,0,0,0,-22,-99,,3.6,5.045,5.8,4.0,false,18,EVHS22,4,0,1,/Dev
280,Burnsville,Park,2021,EVHS22,48,Park,56,Left,2,32,12,1,3-4,Trips Flex,Right,Pocket Pass,Unknown,Flats - Right,Zone 2,0,0,0,11,-99,,6.7,5.045,5.6,5.045,false,19,EVHS22,4,0,1,/Dev
177,Burnsville,Park,2021,EVHS22,48,Park,56,Left,2,32,12,1,3-4,Trips Flex,Right,Pocket Pass,Unknown,Flats - Right,Zone 2,0,0,0,11,-99,,6.7,5.045,5.6,5.045,false,19,EVHS22,4,0,1,/Dev
281,Burnsville,Park,2021,EVHS22,49,Park,67,Middle,3,1,12,1,3-4,Slot,Right,Inside Run,Left,Non Passing Play,Zone 2,0,0,0,4,-99,,7.1,5.045,6.7,4.0,false,26,EVHS22,1,2,2,/Dev
178,Burnsville,Park,2021,EVHS22,49,Park,67,Middle,3,1,12,1,3-4,Slot,Right,Inside Run,Left,Non Passing Play,Zone 2,0,0,0,4,-99,,7.1,5.045,6.7,4.0,false,26,EVHS22,1,2,2,/Dev
282,Burnsville,Park,2021,EVHS22,50,Park,71,Left,1,10,12,1,3-4,Thunder,Right,Inside Run,Right,Non Passing Play,Zone 4,0,0,0,0,-99,,7.1,5.045,7.1,5.045,false,25,EVHS22,3,0,2,/Dev
